Timecode List:,00:00:01.467,00:00:02.950,00:00:04.433,00:00:07.467,00:00:10.550,00:00:12.917,00:00:15.550,00:00:18.517,00:00:23.333,00:00:31.633
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,88,00:00:01.467,1.467,88,00:00:01.467,1.467
2,89,00:00:01.467,1.467,177,00:00:02.950,2.950,89,00:00:01.483,1.483
3,178,00:00:02.950,2.950,266,00:00:04.433,4.433,89,00:00:01.483,1.483
4,267,00:00:04.433,4.433,448,00:00:07.467,7.467,182,00:00:03.033,3.033
5,449,00:00:07.467,7.467,633,00:00:10.550,10.550,185,00:00:03.083,3.083
6,634,00:00:10.550,10.550,775,00:00:12.917,12.917,142,00:00:02.367,2.367
7,776,00:00:12.917,12.917,933,00:00:15.550,15.550,158,00:00:02.633,2.633
8,934,00:00:15.550,15.550,1111,00:00:18.517,18.517,178,00:00:02.967,2.967
9,1112,00:00:18.517,18.517,1400,00:00:23.333,23.333,289,00:00:04.817,4.817
10,1401,00:00:23.333,23.333,1898,00:00:31.633,31.633,498,00:00:08.300,8.300
11,1899,00:00:31.633,31.633,1931,00:00:32.183,32.183,33,00:00:00.550,0.550
